Island Group,Person,Entry-1,SampleID,1990 Landcover,1990 sub-class,First year of cloud-free data,1990 confidence,change event? 1990-2015,change event conf,1990 notes,year of change 1,Prev cloud-free yr 1,change type 1,Confidence change 1,notes change 1,year of change 2,previous cloud-free year 2,change type 2,Confidence change 2,notes change 2,year of change 3,previous cloud-free year 3,change type 3,Confidence change 3,notes change 3,LULC SPOT6/7,Classification Notes,Transition Summary,AGREE or DISAGREE,Spot image?,High Res GE?,More than 3 change events?,Confidence of final interpreter,User,Final interpreter notes,Diana edited notes,year of change 4,previous cloud-free year 4,change type 4,Confidence change 4,notes change 4,year of change 5,previous cloud-free year 5,change type 5,Confidence change 5,notes change 5,year of change 6,previous cloud-free year 6,change type 6,Confidence change 6,notes change 6
Irian Jaya,Hani,2,402,Primary intact,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,none,No,High,Zuraidah checked,,,,,,,,,,,,,,,,,
Irian Jaya,Hani,2,403,Primary intact,NA,1994,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,none,No,High,Zuraidah checked,,,,,,,,,,,,,,,,,
Irian Jaya,Hani,2,404,Primary intact,NA,1992,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,none,No,High,Zuraidah checked,,,,,,,,,,,,,,,,,
Irian Jaya,Hani,2,405,Primary intact,NA,1993,Low,No,High,Sample complete!,,,,,,,,,,,,,,,,Hutan Primer,,  ,Disagree - major,No,none,No,Low,Zuraidah checked,,,,,,,,,,,,,,,,,
Irian Jaya,Hani,2,406,Primary intact,NA,1990,High,Yes,High,,2012,2011,Degraded - Selective Logging,High,,,,,,,,,,,,Hutan Sekunder,,Degraded - Selective Logging  ,Disagree - major,Yes,2014,No,High,Zuraidah checked,,,,,,,,,,,,,,,,,
Irian Jaya,Hani,2,407,Primary intact,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,2014,No,High,Zuraidah checked,,,,,,,,,,,,,,,,,
Irian Jaya,Hani,2,408,Primary intact,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,none,No,High,Zuraidah checked,,,,,,,,,,,,,,,,,
Irian Jaya,Hani,2,409,Non Forest,NA,1991,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Belukar Rawa,,  ,Agree,Yes,2013,No,High,Zuraidah checked,,,,,,,,,,,,,,,,,
Irian Jaya,Hani,2,410,Primary intact,NA,1995,High,Yes,High,,2014,2013,Degraded - Selective Logging,Low,,,,,,,,,,,,Hutan Sekunder,,Degraded - Selective Logging  ,Disagree - major,Yes,none,No,High,Zuraidah checked,,,,,,,,,,,,,,,,,
Irian Jaya,Hani,2,411,Non Forest,NA,1990,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Rawa,,  ,Disagree - major,Yes,2015,No,High,Zuraidah checked,,,,,,,,,,,,,,,,,
Irian Jaya,Hani,2,412,Non Forest,NA,1990,Low,No,High,Sample complete!,,,,,,,,,,,,,,,,Belukar Rawa,,  ,Disagree - major,Yes,2015,No,High,Zuraidah checked,,,,,,,,,,,,,,,,,
Irian Jaya,Hani,2,413,Primary degraded,NA,1990,Low,Yes,High,,2004,2003,Cleared - Small-holder land use,High,,,,,,,,,,,,Pertanian Lahan Kering Campur Semak,,Cleared - Small-holder land use  ,Disagree - major,Yes,none,No,High,Zuraidah checked,,,,,,,,,,,,,,,,,
Irian Jaya,Hani,2,414,Primary intact,NA,1994,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,none,No,High,Zuraidah checked,,,,,,,,,,,,,,,,,
Irian Jaya,Hani,2,415,Primary intact,NA,1995,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Hutan Primer,,  ,Disagree - major,Yes,2011,No,High,Zuraidah checked,,,,,,,,,,,,,,,,,
Irian Jaya,Hani,2,416,Primary intact,NA,1991,High,No,High,Sample complete!,,,,,,,,,,,,,,,,Hutan Primer,,  ,Agree,Yes,none,No,High,Zuraidah checked,,,,,,,,,,,,,,,,,
