ISLAND,ID,FINAL_LU_UMD,DEG_YR_FIRST,DEG_TYPE_FIRST,CLEAR_YR_FIRST,CLEAR_TYPE_FIRST,NUM_CHANGE,X1990_LC,CH1_YR,CH1_TYPE,CH2_YR,CH2_TYPE,CH3_YR,CH3_TYPE,CH4_YR,CH4_TYPE,CH5_YR,CH5_TYPE,CH6_YR,CH6_TYPE,KLHK_LU,TRAJECTORY
Kalimantan,4317,Cleared - Fire,1998,Degraded - Nearby clearing,2002,Cleared - Abandoned,3,Primary degraded,1998,Degraded - Nearby clearing,2002,Cleared - Abandoned,2016,Cleared - Fire,0,NA,0,NA,0,NA,Belukar,Primary degraded > Degraded - Nearby clearing > Cleared - Abandoned > Cleared - Fire
Kalimantan,4640,Cleared - Palm estate,1998,Degraded - Fire,2003,Cleared - Abandoned,3,Primary degraded,1998,Degraded - Fire,2003,Cleared - Abandoned,2005,Cleared - Palm estate,0,NA,0,NA,0,NA,Perkebunan,Primary degraded > Degraded - Fire > Cleared - Abandoned > Cleared - Palm estate
Sumatera,8915,Cleared - Palm estate,2002,Degraded - Nearby clearing,2008,Cleared - Fire,3,Primary intact,2002,Degraded - Nearby clearing,2008,Cleared - Fire,2014,Cleared - Palm estate,0,NA,0,NA,0,NA,Perkebunan,Primary intact > Degraded - Nearby clearing > Cleared - Fire > Cleared - Palm estate
Sumatera,8699,Cleared - Palm estate,1996,Degraded - Nearby clearing,1998,Cleared - Abandoned,3,Primary intact,1996,Degraded - Nearby clearing,1998,Cleared - Abandoned,2004,Cleared - Palm estate,0,NA,0,NA,0,NA,Perkebunan,Primary intact > Degraded - Nearby clearing > Cleared - Abandoned > Cleared - Palm estate
Sumatera,8040,Cleared - Palm estate,2e3,Degraded - Nearby clearing,2002,Cleared - Abandoned,3,Primary degraded,2000,Degraded - Nearby clearing,2002,Cleared - Abandoned,2006,Cleared - Palm estate,0,NA,0,NA,0,NA,Perkebunan,Primary degraded > Degraded - Nearby clearing > Cleared - Abandoned > Cleared - Palm estate
Sumatera,9934,Cleared - Tree plantation,2009,Degraded - Nearby clearing,2010,Cleared - Tree plantation,3,Primary intact,2009,Degraded - Nearby clearing,2010,Cleared - Tree plantation,2014,Cleared - Tree plantation,0,NA,0,NA,0,NA,Hutan Tanaman,Primary intact > Degraded - Nearby clearing > Cleared - Tree plantation > Cleared - Tree plantation
Sumatera,9159,Cleared - Abandoned,2006,Degraded - Nearby clearing,2011,Cleared - Abandoned,3,Primary intact,2006,Degraded - Nearby clearing,2011,Cleared - Abandoned,2015,Cleared - Abandoned,0,NA,0,NA,0,NA,Belukar,Primary intact > Degraded - Nearby clearing > Cleared - Abandoned > Cleared - Abandoned
Sumatera,9571,Cleared - Palm estate,1995,Degraded - Nearby clearing,1998,Cleared - Abandoned,3,Primary degraded,1995,Degraded - Nearby clearing,1998,Cleared - Abandoned,2012,Cleared - Palm estate,0,NA,0,NA,0,NA,Perkebunan,Primary degraded > Degraded - Nearby clearing > Cleared - Abandoned > Cleared - Palm estate
Sumatera,7493,Cleared - Palm estate,1997,Degraded - Nearby clearing,1999,Cleared - Abandoned,3,Primary intact,1997,Degraded - Nearby clearing,1999,Cleared - Abandoned,2006,Cleared - Palm estate,0,NA,0,NA,0,NA,Perkebunan,Primary intact > Degraded - Nearby clearing > Cleared - Abandoned > Cleared - Palm estate
Sumatera,8494,Cleared - Tree plantation,2005,Degraded - Nearby clearing,2006,Cleared - Abandoned,3,Primary degraded,2005,Degraded - Nearby clearing,2006,Cleared - Abandoned,2012,Cleared - Tree plantation,0,NA,0,NA,0,NA,Hutan Tanaman,Primary degraded > Degraded - Nearby clearing > Cleared - Abandoned > Cleared - Tree plantation
